client_id,Delinquent90
75000,0.041280340801460404
75001,0.19693251910760987
75002,0.03797349344759517
75003,0.03282438196494307
75004,0.019358688114538863
75005,0.027680290936504304
75006,0.022883644347628417
75007,0.03576398285565295
75008,0.04103655849196996
75009,0.08219739408686341
75010,0.1185284571347958
75011,0.02416731357996648
75012,0.03785437649499679
75013,0.0395879580394979
75014,0.2848618728861452
75015,0.28150553056711114
75016,0.09936982094607255
75017,0.03237627263295485
75018,0.019358688114538863
75019,0.09382025470289646
75020,0.03616199373303428
75021,0.0816023480868239
75022,0.10476151353498793
75023,0.026065826344601584
75024,0.10255200294304571
75025,0.07983442006266422
75026,0.03616199373303428
75027,0.02086046622610125
75028,0.03576398285565295
75029,0.019358688114538863
75030,0.03785437649499679
75031,0.022076919940622643
75032,0.10255200294304571
75033,0.061468582644260875
75034,0.019358688114538863
75035,0.02057514182906026
75036,0.03576398285565295
75037,0.03797349344759517
75038,0.019358688114538863
75039,0.11472242677628315
75040,0.03454752914113156
75041,0.04446252279843357
75042,0.019358688114538863
75043,0.02057514182906026
75044,0.022665535468404097
75045,0.04103655849196996
75046,0.02057514182906026
75047,0.02086046622610125
75048,0.1904072532606942
75049,0.2225279981195611
75050,0.02057514182906026
75051,0.02057514182906026
75052,0.17708750607670626
75053,0.02057514182906026
75054,0.041280340801460404
75055,0.02086046622610125
75056,0.061468582644260875
75057,0.1697709905609728
75058,0.06308304723616358
75059,0.08219739408686341
75060,0.12567365187616591
75061,0.03555845462992802
75062,0.12249146987919272
75063,0.037729711138104735
75064,0.041280340801460404
75065,0.037378447447555675
75066,0.027127731217448457
75067,0.04446252279843357
75068,0.05581139010579954
75069,0.041280340801460404
75070,0.0395879580394979
75071,0.023691384532525363
75072,0.041280340801460404
75073,0.07680570149794802
75074,0.09557455981258905
75075,0.02218960642096298
75076,0.022076919940622643
75077,0.16384686512858188
75078,0.15348834862735183
75079,0.03454752914113156
75080,0.04103655849196996
75081,0.10897493735339488
75082,0.02057514182906026
75083,0.029299425731853523
75084,0.03555845462992802
75085,0.03454752914113156
75086,0.04103655849196996
75087,0.033592726347476246
75088,0.022474930818003967
75089,0.027127731217448457
75090,0.02057514182906026
75091,0.028896744651025697
75092,0.07477184714570469
75093,0.037729711138104735
75094,0.020973152706441584
75095,0.09161074411095424
75096,0.03454752914113156
75097,0.04446252279843357
75098,0.039344175730007445
75099,0.03576398285565295
75100,0.09936982094607255
75101,0.022665535468404097
75102,0.022076919940622643
75103,0.03797349344759517
75104,0.1163572006266191
75105,0.17823682942745675
75106,0.04948544298692609
75107,0.037729711138104735
75108,0.019358688114538863
75109,0.037729711138104735
75110,0.019358688114538863
75111,0.07842016608985074
75112,0.02057514182906026
75113,0.019358688114538863
75114,0.02057514182906026
75115,0.03454752914113156
